"2017 NAICS Code","2017 NAICS Title","GHG","Unit","Supply Chain Emission Factors without Margins","Margins of Supply Chain Emission Factors","Supply Chain Emission Factors with Margins","Reference USEEIO Code"
321992,"Prefabricated Wood Building Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.135,0.029,0.164,"3219A0"
321999,"All Other Miscellaneous Wood Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.135,0.029,0.164,"3219A0"
322110,"Pulp Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.977,0.025,1.002,"322110"
322121,"Paper (except Newsprint) Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.603,0.047,0.649,"322120"
322122,"Newsprint Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.603,0.047,0.649,"322120"
322130,"Paperboard Mills","All GHGs","kg CO2e/2022 USD, purchaser price",0.789,0.04,0.829,"322130"
322211,"Corrugated and Solid Fiber Box Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.449,0.03,0.479,"322210"
322212,"Folding Paperboard Box Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.449,0.03,0.479,"322210"
322219,"Other Paperboard Container Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.449,0.03,0.479,"322210"
322220,"Paper Bag and Coated and Treated Paper Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.33,0.034,0.364,"322220"
322230,"Stationery Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.265,0.031,0.296,"322230"
322291,"Sanitary Paper Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.275,0.065,0.34,"322291"
322299,"All Other Converted Paper Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.305,0.038,0.343,"322299"
323111,"Commercial Printing (except Screen and Books)","All GHGs","kg CO2e/2022 USD, purchaser price",0.202,0.034,0.236,"323110"
323113,"Commercial Screen Printing","All GHGs","kg CO2e/2022 USD, purchaser price",0.202,0.034,0.236,"323110"
323117,"Books Printing","All GHGs","kg CO2e/2022 USD, purchaser price",0.202,0.034,0.236,"323110"
323120,"Support Activites for Printing","All GHGs","kg CO2e/2022 USD, purchaser price",0.214,0.023,0.237,"323120"
324110,"Petroleum Refineries","All GHGs","kg CO2e/2022 USD, purchaser price",0.248,0.022,0.27,"324110"
324121,"Asphalt Paving Mixture and Block Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",1.093,0.028,1.121,"324121"
324122,"Asphalt Shingle and Coating Materials Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.576,0.032,0.608,"324122"
324191,"Petroleum Lubricating Oil and Grease Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.359,0.032,0.391,"324190"
324199,"All Other Petroleum and Coal Products Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.359,0.032,0.391,"324190"
325110,"Petrochemical Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.794,0.016,0.811,"325110"
325120,"Industrial Gas Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",1.163,0.048,1.211,"325120"
325130,"Synthetic Dye and Pigment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.406,0.027,0.432,"325130"
325180,"Other Basic Inorganic Chemical Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.974,0.036,1.01,"325180"
325193,"Ethyl Alcohol Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",1.166,0.018,1.184,"325190"
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",1.166,0.018,1.184,"325190"
325199,"All Other Basic Organic Chemical Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",1.166,0.018,1.184,"325190"
325211,"Plastics Material and Resin Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",1.022,0.024,1.045,"325211"
325212,"Synthetic Rubber Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.886,0.016,0.902,"3252A0"
325220,"Artificial and Synthetic Fibers and Filaments Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.886,0.016,0.902,"3252A0"
325311,"Nitrogenous Fertilizer Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",1.114,0.023,1.137,"325310"
325312,"Phosphatic Fertilizer Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",1.114,0.023,1.137,"325310"
325314,"Fertilizer (Mixing Only) Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",1.114,0.023,1.137,"325310"
325320,"Pesticide and Other Agricultural Chemical Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.433,0.031,0.463,"325320"
325411,"Medicinal and Botanical Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.151,0.037,0.189,"325411"
325412,"Pharmaceutical Preparation Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.045,0.053,0.099,"325412"
325413,"In-Vitro Diagnostic Substance Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.161,0.022,0.183,"325413"
325414,"Biological Product (except Diagnostic) Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.126,0.025,0.15,"325414"
325510,"Paint and Coating Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.264,0.027,0.291,"325510"
325520,"Adhesive Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.502,0.029,0.531,"325520"
325611,"Soap and Other Detergent Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.315,0.04,0.355,"325610"
325612,"Polish and Other Sanitation Good Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.315,0.04,0.355,"325610"
325613,"Surface Active Agent Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.315,0.04,0.355,"325610"
325620,"Toilet Preparation Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.136,0.058,0.194,"325620"
325910,"Printing Ink Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.355,0.031,0.386,"325910"
325920,"Explosives Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.472,0.028,0.5,"3259A0"
325991,"Custom Compounding of Purchased Resins","All GHGs","kg CO2e/2022 USD, purchaser price",0.472,0.028,0.5,"3259A0"
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.472,0.028,0.5,"3259A0"
325998,"All Other Miscellaneous Chemical Product and Preparation Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.472,0.028,0.5,"3259A0"
326111,"Plastics Bag and Pouch Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.521,0.023,0.544,"326110"
326112,"Plastics Packaging Film and Sheet (including Laminated) Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.521,0.023,0.544,"326110"
326113,"Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.521,0.023,0.544,"326110"
326121,"Unlaminated Plastics Profile Shape Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.332,0.019,0.351,"326120"
326122,"Plastics Pipe and Pipe Fitting Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.332,0.019,0.351,"326120"
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.441,0.019,0.46,"326130"
326140,"Polystyrene Foam Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.247,0.024,0.271,"326140"
326150,"Urethane and Other Foam Product (except Polystyrene) Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.318,0.042,0.36,"326150"
326160,"Plastics Bottle Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.553,0.025,0.579,"326160"
326191,"Plastics Plumbing Fixture Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.344,0.027,0.371,"326190"
326199,"All Other Plastics Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.344,0.027,0.371,"326190"
326211,"Tire Manufacturing (except Retreading)","All GHGs","kg CO2e/2022 USD, purchaser price",0.233,0.043,0.276,"326210"
326212,"Tire Retreading","All GHGs","kg CO2e/2022 USD, purchaser price",0.233,0.043,0.276,"326210"
326220,"Rubber and Plastics Hoses and Belting Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.281,0.028,0.309,"326220"
326291,"Rubber Product Manufacturing for Mechanical Use","All GHGs","kg CO2e/2022 USD, purchaser price",0.313,0.03,0.343,"326290"
326299,"All Other Rubber Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.313,0.03,0.343,"326290"
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.399,0.052,0.451,"327100"
327120,"Clay Building Material and Refractories Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.399,0.052,0.451,"327100"
327211,"Flat Glass Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.537,0.06,0.597,"327200"
327212,"Other Pressed and Blown Glass and Glassware Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.537,0.06,0.597,"327200"
327213,"Glass Container Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.537,0.06,0.597,"327200"
327215,"Glass Product Manufacturing Made of Purchased Glass","All GHGs","kg CO2e/2022 USD, purchaser price",0.537,0.06,0.597,"327200"
327310,"Cement Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",3.846,0.078,3.924,"327310"
327320,"Ready-Mix Concrete Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.54,0.067,0.606,"327320"
327331,"Concrete Block and Brick Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.264,0.063,0.328,"327330"
327332,"Concrete Pipe Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.264,0.063,0.328,"327330"
327390,"Other Concrete Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.267,0.05,0.317,"327390"
327410,"Lime Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",1.56,0.063,1.623,"327400"
327420,"Gypsum Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",1.56,0.063,1.623,"327400"
327910,"Abrasive Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.134,0.053,0.187,"327910"
327991,"Cut Stone and Stone Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.148,0.047,0.195,"327991"
327992,"Ground or Treated Mineral and Earth Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.375,0.121,0.497,"327992"
327993,"Mineral Wool Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.339,0.053,0.393,"327993"
327999,"All Other Miscellaneous Nonmetallic Mineral Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.719,0.068,0.787,"327999"
331110,"Iron and Steel Mills and Ferroalloy Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.769,0.018,0.787,"331110"
331210,"Iron and Steel Pipe and Tube Manufacturing from Purchased Steel","All GHGs","kg CO2e/2022 USD, purchaser price",0.343,0.017,0.36,"331200"
331221,"Rolled Steel Shape Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.343,0.017,0.36,"331200"
331222,"Steel Wire Drawing","All GHGs","kg CO2e/2022 USD, purchaser price",0.343,0.017,0.36,"331200"
331313,"Alumina Refining and Primary Aluminum Production","All GHGs","kg CO2e/2022 USD, purchaser price",1.003,0.014,1.018,"331313"
331315,"Aluminum Sheet, Plate, and Foil Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.7,0.021,0.721,"33131B"
331318,"Other Aluminum Rolling, Drawing, and Extruding","All GHGs","kg CO2e/2022 USD, purchaser price",0.7,0.021,0.721,"33131B"
331410,"Nonferrous Metal (except Aluminum) Smelting and Refining","All GHGs","kg CO2e/2022 USD, purchaser price",0.408,0.016,0.423,"331410"
331420,"Copper Rolling, Drawing, Extruding, and Alloying","All GHGs","kg CO2e/2022 USD, purchaser price",0.316,0.019,0.334,"331420"
331491,"Nonferrous Metal (except Copper and Aluminum) Rolling, Drawing, and Extruding","All GHGs","kg CO2e/2022 USD, purchaser price",0.414,0.018,0.431,"331490"
331492,"Secondary Smelting, Refining, and Alloying of Nonferrous Metal (except Copper and Aluminum)","All GHGs","kg CO2e/2022 USD, purchaser price",0.414,0.018,0.431,"331490"
331511,"Iron Foundries","All GHGs","kg CO2e/2022 USD, purchaser price",0.349,0.021,0.369,"331510"
331512,"Steel Investment Foundries","All GHGs","kg CO2e/2022 USD, purchaser price",0.349,0.021,0.369,"331510"
331513,"Steel Foundries (except Investment)","All GHGs","kg CO2e/2022 USD, purchaser price",0.349,0.021,0.369,"331510"
331523,"Nonferrous Metal Die-Casting Foundries","All GHGs","kg CO2e/2022 USD, purchaser price",0.438,0.025,0.462,"331520"
331524,"Aluminum Foundries (except Die-Casting)","All GHGs","kg CO2e/2022 USD, purchaser price",0.438,0.025,0.462,"331520"
331529,"Other Nonferrous Metal Foundries (except Die-Casting)","All GHGs","kg CO2e/2022 USD, purchaser price",0.438,0.025,0.462,"331520"
332111,"Iron and Steel Forging","All GHGs","kg CO2e/2022 USD, purchaser price",0.47,0.023,0.493,"33211A"
332112,"Nonferrous Forging","All GHGs","kg CO2e/2022 USD, purchaser price",0.47,0.023,0.493,"33211A"
332114,"Custom Roll Forming","All GHGs","kg CO2e/2022 USD, purchaser price",0.349,0.013,0.362,"332114"
332117,"Powder Metallurgy Part Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.47,0.023,0.493,"33211A"
332119,"Metal Crown, Closure, and Other Metal Stamping (except Automotive)","All GHGs","kg CO2e/2022 USD, purchaser price",0.293,0.026,0.319,"332119"
332215,"Metal Kitchen Cookware, Utensil, Cutlery, and Flatware (except Precious) Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.174,0.049,0.223,"332200"
332216,"Saw Blade and Handtool Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.174,0.049,0.223,"332200"
332311,"Prefabricated Metal Building and Component Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.246,0.017,0.262,"332310"
332312,"Fabricated Structural Metal Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.246,0.017,0.262,"332310"
332313,"Plate Work Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.246,0.017,0.262,"332310"
332321,"Metal Window and Door Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.195,0.026,0.221,"332320"
332322,"Sheet Metal Work Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.195,0.026,0.221,"332320"
332323,"Ornamental and Architectural Metal Work Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.195,0.026,0.221,"332320"
332410,"Power Boiler and Heat Exchanger Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.182,0.027,0.209,"332410"
332420,"Metal Tank (Heavy Gauge) Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.267,0.012,0.279,"332420"
332431,"Metal Can Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.302,0.016,0.318,"332430"
332439,"Other Metal Container Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.302,0.016,0.318,"332430"
332510,"Hardware Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.157,0.034,0.191,"332500"
332613,"Spring Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.219,0.014,0.233,"332600"
332618,"Other Fabricated Wire Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.219,0.014,0.233,"332600"
332710,"Machine Shops","All GHGs","kg CO2e/2022 USD, purchaser price",0.262,0.016,0.278,"332710"
332721,"Precision Turned Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.222,0.026,0.248,"332720"
332722,"Bolt, Nut, Screw, Rivet, and Washer Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.222,0.026,0.248,"332720"
332811,"Metal Heat Treating","All GHGs","kg CO2e/2022 USD, purchaser price",0.368,0.015,0.382,"332800"
332812,"Metal Coating, Engraving (except Jewelry and Silverware), and Allied Services to Manufacturers","All GHGs","kg CO2e/2022 USD, purchaser price",0.368,0.015,0.382,"332800"
332813,"Electroplating, Plating, Polishing, Anodizing, and Coloring","All GHGs","kg CO2e/2022 USD, purchaser price",0.368,0.015,0.382,"332800"
332911,"Industrial Valve Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.146,0.027,0.173,"33291A"
332912,"Fluid Power Valve and Hose Fitting Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.146,0.027,0.173,"33291A"
332913,"Plumbing Fixture Fitting and Trim Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.126,0.045,0.171,"332913"
332919,"Other Metal Valve and Pipe Fitting Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.146,0.027,0.173,"33291A"
332991,"Ball and Roller Bearing Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.179,0.024,0.203,"332991"
332992,"Small Arms Ammunition Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.115,0.054,0.168,"33299A"
332993,"Ammunition (except Small Arms) Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.115,0.054,0.168,"33299A"
332994,"Small Arms, Ordnance, and Ordnance Accessories Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.115,0.054,0.168,"33299A"
332996,"Fabricated Pipe and Pipe Fitting Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.212,0.026,0.238,"332996"
332999,"All Other Miscellaneous Fabricated Metal Product Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.248,0.024,0.272,"332999"
333111,"Farm Machinery and Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.191,0.029,0.22,"333111"
333112,"Lawn and Garden Tractor and Home Lawn and Garden Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.052,0.068,0.12,"333112"
333120,"Construction Machinery Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.201,0.027,0.228,"333120"
333131,"Mining Machinery and Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.175,0.044,0.219,"333130"
333132,"Oil and Gas Field Machinery and Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.175,0.044,0.219,"333130"
333241,"Food Product Machinery Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.166,0.019,0.185,"33329A"
333242,"Semiconductor Machinery Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.13,0.02,0.15,"333242"
333243,"Sawmill, Woodworking, and Paper Machinery Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.166,0.019,0.185,"33329A"
333244,"Printing Machinery and Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.166,0.019,0.185,"33329A"
333249,"Other Industrial Machinery Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.166,0.019,0.185,"33329A"
333314,"Optical Instrument and Lens Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.152,0.023,0.175,"333314"
333316,"Photographic and Photocopying Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.085,0.05,0.135,"333316"
333318,"Other Commercial and Service Industry Machinery Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.171,0.034,0.205,"333318"
333413,"Industrial and Commercial Fan and Blower and Air Purification Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.184,0.025,0.21,"333413"
333414,"Heating Equipment (except Warm Air Furnaces) Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.138,0.038,0.176,"333414"
333415,"Air-Conditioning and Warm Air Heating Equipment and Commercial and Industrial Refrigeration Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.156,0.028,0.184,"333415"
333511,"Industrial Mold Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.236,0.025,0.262,"333511"
333514,"Special Die and Tool, Die Set, Jig, and Fixture Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.184,0.026,0.21,"333514"
333515,"Cutting Tool and Machine Tool Accessory Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.184,0.023,0.207,"33351B"
333517,"Machine Tool Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.176,0.023,0.199,"333517"
333519,"Rolling Mill and Other Metalworking Machinery Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.184,0.023,0.207,"33351B"
333611,"Turbine and Turbine Generator Set Units Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.178,0.024,0.201,"333611"
333612,"Speed Changer, Industrial High-Speed Drive, and Gear Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.163,0.016,0.179,"333612"
333613,"Mechanical Power Transmission Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.187,0.022,0.209,"333613"
333618,"Other Engine Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.273,0.024,0.297,"333618"
333912,"Air and Gas Compressor Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.158,0.02,0.177,"333912"
333914,"Measuring, Dispensing, and Other Pumping Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.223,0,0.223,"333914"
333921,"Elevator and Moving Stairway Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.234,0.022,0.256,"333920"
333922,"Conveyor and Conveying Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.234,0.022,0.256,"333920"
333923,"Overhead Traveling Crane, Hoist, and Monorail System Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.234,0.022,0.256,"333920"
333924,"Industrial Truck, Tractor, Trailer, and Stacker Machinery Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.234,0.022,0.256,"333920"
333991,"Power-Driven Handtool Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.083,0.053,0.136,"333991"
333992,"Welding and Soldering Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.228,0.021,0.249,"33399A"
333993,"Packaging Machinery Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.113,0.023,0.136,"333993"
333994,"Industrial Process Furnace and Oven Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.168,0.022,0.19,"333994"
333995,"Fluid Power Cylinder and Actuator Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.182,0.021,0.202,"33399B"
333996,"Fluid Power Pump and Motor Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.182,0.021,0.202,"33399B"
333997,"Scale and Balance Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.228,0.021,0.249,"33399A"
333999,"All Other Miscellaneous General Purpose Machinery Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.228,0.021,0.249,"33399A"
334111,"Electronic Computer Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.03,0.028,0.058,"334111"
334112,"Computer Storage Device Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.04,0.031,0.071,"334112"
334118,"Computer Terminal and Other Computer Peripheral Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.116,0.027,0.143,"334118"
334210,"Telephone Apparatus Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.051,0.045,0.096,"334210"
334220,"Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.065,0.047,0.111,"334220"
334290,"Other Communications Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.038,0.042,0.08,"334290"
334310,"Audio and Video Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.043,0.038,0.081,"334300"
334412,"Bare Printed Circuit Board Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.08,0.019,0.098,"33441A"
334413,"Semiconductor and Related Device Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.188,0.028,0.215,"334413"
334416,"Capacitor, Resistor, Coil, Transformer, and Other Inductor Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.08,0.019,0.098,"33441A"
334417,"Electronic Connector Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.08,0.019,0.098,"33441A"
334418,"Printed Circuit Assembly (Electronic Assembly) Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.068,0.033,0.101,"334418"
334419,"Other Electronic Component Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.08,0.019,0.098,"33441A"
334510,"Electromedical and Electrotherapeutic Apparatus Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.087,0.048,0.135,"334510"
334511,"Search, Detection, Navigation, Guidance, Aeronautical, and Nautical System and Instrument Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.052,0.019,0.071,"334511"
334512,"Automatic Environmental Control Manufacturing for Residential, Commercial, and Appliance Use","All GHGs","kg CO2e/2022 USD, purchaser price",0.047,0.023,0.07,"334512"
334513,"Instruments and Related Products Manufacturing for Measuring, Displaying, and Controlling Industrial Process Variables","All GHGs","kg CO2e/2022 USD, purchaser price",0.048,0.015,0.063,"334513"
334514,"Totalizing Fluid Meter and Counting Device Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.063,0.021,0.084,"334514"
334515,"Instrument Manufacturing for Measuring and Testing Electricity and Electrical Signals","All GHGs","kg CO2e/2022 USD, purchaser price",0.055,0.024,0.079,"334515"
334516,"Analytical Laboratory Instrument Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.078,0.024,0.102,"334516"
334517,"Irradiation Apparatus Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.097,0.038,0.135,"334517"
334519,"Other Measuring and Controlling Device Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.044,0.042,0.087,"33451A"
334613,"Blank Magnetic and Optical Recording Media Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.043,0.021,0.063,"334610"
334614,"Software and Other Prerecorded Compact Disc, Tape, and Record Reproducing","All GHGs","kg CO2e/2022 USD, purchaser price",0.043,0.021,0.063,"334610"
335110,"Electric Lamp Bulb and Part Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.099,0.074,0.173,"335110"
335121,"Residential Electric Lighting Fixture Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.138,0.047,0.185,"335120"
335122,"Commercial, Industrial, and Institutional Electric Lighting Fixture Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.138,0.047,0.185,"335120"
335129,"Other Lighting Equipment Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.138,0.047,0.185,"335120"
335210,"Small Electrical Appliance Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.106,0.051,0.157,"335210"
335220,"Major Household Appliance Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.137,0.034,0.172,"335220"
335311,"Power, Distribution, and Specialty Transformer Manufacturing","All GHGs","kg CO2e/2022 USD, purchaser price",0.118,0.015,0.133,"335311"
